Concept,Description,top-1 suggestion,top-2 suggestion,top-3 suggestion
Compasión ,sentimiento,sentimiento,mal,negativo
Compasión ,perdona vida alguien peliculas,locura,piedad,miedo
plan,necesario cumplir objetivos,meta,deber,logro
plan,organizar recursos personas,ayuda,dos o más partes,escasez
plan,estrategia,estrategia,procedimiento,evitación
Habilidad,capacidad,capacidad,capacidad,argumentación
Habilidad,diferencian personas,ayuda,dos o más partes,tomar/dejar
Habilidad,permite cumplir metas,meta,deber,deseo
Habilidad,blandas duras,comer,tomar/dejar,estrés
Ganancia ,genera trabajo,trabajo,miedo,advertencia
Ganancia ,utilidad,utilidad,capacidad,valor
Ganancia ,diferencia costo precio venta,ventas,ventas,ingreso
Verdad,contrario mentira,no mentir,no mentir,querer
Esperanza,confianza,confianza,tranquilidad,respeto
Esperanza,fe pasar,fe,querer,ayuda
Éxito,metas,meta,meta,bien
Éxito,ganar,ganar,triunfo,ganar
Éxito,superar objetivos,meta,logro,logro
Oportunidad,permite innovar,permitir,no voluntad,estructura
Oportunidad,basa éxito negocio,éxito,empresas,espacio
Oportunidad,problema solcion,problemas,solución,preocupación
Felicidad,alegría,alegría,emoción,felicidad
Felicidad,sentimiento,sentimiento,mal,negativo
Felicidad,contrario tristeza,no tristeza,no mentir,mal
Desesperación,sentimiento,sentimiento,mal,negativo
Desesperación,cosas resultan,bien,bien,análisis
Razón ,comprension,sensación,características,precisión
Razón ,sentimiento,sentimiento,mal,negativo
Razón ,logica,lógica,características,precisión
Razón ,analisis,análisis,información,exposición
Razón ,vida,vida,miedo,disfrute
Razón ,inteligencia,inteligencia,sensorial,agilidad/fuerza
Razón ,abstraccion,emoción,precisión,características
Razón ,empatia,empatía,sensación,estructura
Razón ,simpatia,atención,sensación,precaución
Razón ,paciencia,impaciencia,sinceridad,sabiduría
Desesperación,impaciencia,impaciencia,malestar,alegría
Desesperación,impulsivo,inteligencia,alegría,inquietud
Desesperación,angustia,angustia,desesperación,ansiedad
Desesperación,descontento,malestar,intranquilidad,preocupación
Desesperación,depresion,depresión,intranquilidad,enfermedad
Desesperación,ambigüedad,ambigüedad,afirmación,estructura
Desesperación,apuro,apuro,locura,angustia
Seguridad,contento,alegría,satisfacción,felicidad
